particle#	x_coord	y_coord	image_name
628	176	2892	06jul12a_00035gr_00063sq_00012hl_00004en
629	176	2672	06jul12a_00035gr_00063sq_00012hl_00004en
630	956	320	06jul12a_00035gr_00063sq_00012hl_00004en
631	836	464	06jul12a_00035gr_00063sq_00012hl_00004en
632	320	908	06jul12a_00035gr_00063sq_00012hl_00004en
633	1008	576	06jul12a_00035gr_00063sq_00012hl_00004en
634	1104	800	06jul12a_00035gr_00063sq_00012hl_00004en
635	972	1080	06jul12a_00035gr_00063sq_00012hl_00004en
636	1112	1200	06jul12a_00035gr_00063sq_00012hl_00004en
637	756	1116	06jul12a_00035gr_00063sq_00012hl_00004en
638	668	1308	06jul12a_00035gr_00063sq_00012hl_00004en
639	476	1176	06jul12a_00035gr_00063sq_00012hl_00004en
640	348	1296	06jul12a_00035gr_00063sq_00012hl_00004en
641	888	1436	06jul12a_00035gr_00063sq_00012hl_00004en
642	924	1704	06jul12a_00035gr_00063sq_00012hl_00004en
643	668	1848	06jul12a_00035gr_00063sq_00012hl_00004en
644	800	2016	06jul12a_00035gr_00063sq_00012hl_00004en
645	576	2000	06jul12a_00035gr_00063sq_00012hl_00004en
646	872	1880	06jul12a_00035gr_00063sq_00012hl_00004en
647	992	2052	06jul12a_00035gr_00063sq_00012hl_00004en
648	968	2232	06jul12a_00035gr_00063sq_00012hl_00004en
649	1104	2136	06jul12a_00035gr_00063sq_00012hl_00004en
650	1296	2196	06jul12a_00035gr_00063sq_00012hl_00004en
651	1548	1796	06jul12a_00035gr_00063sq_00012hl_00004en
652	1388	1652	06jul12a_00035gr_00063sq_00012hl_00004en
653	1284	1392	06jul12a_00035gr_00063sq_00012hl_00004en
654	1512	1068	06jul12a_00035gr_00063sq_00012hl_00004en
655	1260	560	06jul12a_00035gr_00063sq_00012hl_00004en
656	2184	936	06jul12a_00035gr_00063sq_00012hl_00004en
657	2336	996	06jul12a_00035gr_00063sq_00012hl_00004en
658	2592	944	06jul12a_00035gr_00063sq_00012hl_00004en
659	2720	1140	06jul12a_00035gr_00063sq_00012hl_00004en
660	2984	984	06jul12a_00035gr_00063sq_00012hl_00004en
661	3404	648	06jul12a_00035gr_00063sq_00012hl_00004en
662	3548	828	06jul12a_00035gr_00063sq_00012hl_00004en
663	3684	500	06jul12a_00035gr_00063sq_00012hl_00004en
664	3456	480	06jul12a_00035gr_00063sq_00012hl_00004en
665	2996	356	06jul12a_00035gr_00063sq_00012hl_00004en
666	2756	216	06jul12a_00035gr_00063sq_00012hl_00004en
667	3788	860	06jul12a_00035gr_00063sq_00012hl_00004en
668	3776	1268	06jul12a_00035gr_00063sq_00012hl_00004en
669	3476	1532	06jul12a_00035gr_00063sq_00012hl_00004en
670	3308	1716	06jul12a_00035gr_00063sq_00012hl_00004en
671	3600	1728	06jul12a_00035gr_00063sq_00012hl_00004en
672	3020	1908	06jul12a_00035gr_00063sq_00012hl_00004en
673	3036	1764	06jul12a_00035gr_00063sq_00012hl_00004en
674	2832	1788	06jul12a_00035gr_00063sq_00012hl_00004en
675	2760	1572	06jul12a_00035gr_00063sq_00012hl_00004en
676	2672	1464	06jul12a_00035gr_00063sq_00012hl_00004en
677	2820	1376	06jul12a_00035gr_00063sq_00012hl_00004en
678	3372	2636	06jul12a_00035gr_00063sq_00012hl_00004en
679	3320	2828	06jul12a_00035gr_00063sq_00012hl_00004en
680	3356	2960	06jul12a_00035gr_00063sq_00012hl_00004en
681	3176	2960	06jul12a_00035gr_00063sq_00012hl_00004en
682	3276	3116	06jul12a_00035gr_00063sq_00012hl_00004en
683	3368	3260	06jul12a_00035gr_00063sq_00012hl_00004en
684	3668	2364	06jul12a_00035gr_00063sq_00012hl_00004en
685	3840	2264	06jul12a_00035gr_00063sq_00012hl_00004en
686	2468	2964	06jul12a_00035gr_00063sq_00012hl_00004en
687	428	3260	06jul12a_00035gr_00063sq_00012hl_00004en
688	240	3536	06jul12a_00035gr_00063sq_00012hl_00004en
689	3440	3636	06jul12a_00035gr_00063sq_00012hl_00004en
690	3260	3608	06jul12a_00035gr_00063sq_00012hl_00004en
691	3060	3620	06jul12a_00035gr_00063sq_00012hl_00004en
692	3180	3788	06jul12a_00035gr_00063sq_00012hl_00004en
693	3236	3396	06jul12a_00035gr_00063sq_00012hl_00004en
694	3828	3548	06jul12a_00035gr_00063sq_00012hl_00004en
695	212	1464	06jul12a_00022gr_00037sq_00025hl_00005en
696	740	1316	06jul12a_00022gr_00037sq_00025hl_00005en
697	1248	464	06jul12a_00022gr_00037sq_00025hl_00005en
